,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss
26,267,0,[37133  9763 21035 15274],48,0,True,4.013896942138672,1.042822003364563
27,268,0,[19597 35898 47057 12586],48,3,False,0.0,0.0
28,269,0,[ 7296 30131 32563 44451],49,2,False,0.0,0.0
29,270,0,[36639 23473 17462 24459],10,1,True,4.791875839233398,1.8244003057479858
0,271,1,[ 4787 35774 24073 39899],17,3,True,3.9912474155426025,1.386663794517517
1,272,1,[16324 50028 48032 32646],7,1,False,0.0,0.0
2,273,1,[39053 20071 40089 20659],48,1,False,0.0,0.0
3,274,1,[48231 25695 43806 29005],29,0,False,0.0,0.0
4,275,1,[43069 18416 11138 38514],33,2,True,3.9836008548736572,1.385277509689331
5,276,1,[42504  2137 24622 41990],19,0,False,0.0,0.0
6,277,1,[20222  8146 42760  2445],36,3,True,3.80960750579834,1.3074183464050293
7,278,1,[36048 49464 22177  7057],0,3,False,0.0,0.0
8,279,1,[10932 15330 12126 47429],42,2,False,0.0,0.0
9,280,1,[19729 12799  1764 50663],48,2,False,0.0,0.0
10,281,1,[16266  5568 16408 23531],5,0,True,4.0145039558410645,1.3783726692199707
11,282,1,[10199 34258  6955 24504],49,2,True,3.8618569374084473,1.4630402326583862
12,283,1,[31971  1824 43433 15256],16,3,False,0.0,0.0
13,284,1,[33567 20716 36195  2527],29,0,False,0.0,0.0
14,285,1,[21061 49613 44804 20716],46,1,False,0.0,0.0
15,286,1,[10730 27866 17943  8331],29,2,False,0.0,0.0
16,287,1,[24972 35770 20266 35226],32,1,True,3.995572805404663,1.3841865062713623
17,288,1,[37878 47218 17574 41235],3,0,True,3.983185052871704,1.386212706565857
18,289,1,[ 9144 15073  8450 18798],49,1,False,0.0,0.0
19,290,1,[45263  5665 36226 43686],19,1,False,0.0,0.0
20,291,1,[12608 20685 48690 28333],28,3,False,0.0,0.0
21,292,1,[37394 24987 16388 17661],47,2,False,0.0,0.0
22,293,1,[32633 30137 38384 46975],31,1,False,0.0,0.0
23,294,1,[24859  4157  4450 14044],18,1,False,0.0,0.0
24,295,1,[10374 32089 46449 39390],48,0,False,0.0,0.0
25,296,1,[24011 45989 47566 20478],38,2,False,0.0,0.0
26,297,1,[21935 30550 51422 11313],34,0,True,4.00908088684082,1.3840059041976929
27,298,1,[40475 29327 43741  6932],18,0,False,0.0,0.0
28,299,1,[50224 26042 40142 15900],12,3,False,0.0,0.0
29,300,1,[13835 36510 16457 34330],38,1,False,0.0,0.0
0,301,0,[ 1642 42814 38210 19779],32,0,False,0.0,0.0
1,302,0,[17893 35861  2398 45581],44,2,False,0.0,0.0
2,303,0,[23918 38944 34760 13797],18,3,True,3.732579231262207,2.2993977069854736
3,304,0,[35252 45473 11629 13940],24,3,False,0.0,0.0
4,305,0,[38788 42228 44006 18789],46,3,False,0.0,0.0
5,306,0,[50350 29975 27668  9970],31,3,True,3.7572031021118164,2.0646817684173584
6,307,0,[18584 22802 40093  4201],21,3,True,4.041158676147461,0.9036074280738831
7,308,0,[44216 22430 18904 25605],11,1,False,0.0,0.0
8,309,0,[16168  7215 49913 48975],0,2,False,0.0,0.0
9,310,0,[30846  2953 16765 39377],44,3,False,0.0,0.0
10,311,0,[52077 51911 19103  3017],25,0,True,4.047099590301514,1.3938610553741455
11,312,0,[24293 48188 51796  7798],7,2,False,0.0,0.0
12,313,0,[41650 31875 26852  8960],14,0,False,0.0,0.0
13,314,0,[20684 23773  1820  9803],45,2,False,0.0,0.0
14,315,0,[43807 22274  1557 25705],8,1,True,3.9416415691375732,1.4204246997833252
15,316,0,[ 3472 40719 17918  2384],9,2,False,0.0,0.0
16,317,0,[ 1465 15994 14672 36612],27,3,False,0.0,0.0
17,318,0,[50130  8291 26404  6342],1,2,False,0.0,0.0
18,319,0,[31069 19119 49847 24107],27,0,True,3.7431821823120117,0.9909895062446594
19,320,0,[ 9336  7778 15516 45099],23,0,False,0.0,0.0
20,321,0,[ 7333 45838 29928 36246],11,3,False,0.0,0.0
21,322,0,[16102 38469 43860 17585],1,3,False,0.0,0.0
22,323,0,[ 8480  2077 48672 39430],6,1,False,0.0,0.0
23,324,0,[51767 10359 35645 24353],42,2,False,0.0,0.0
24,325,0,[27419 10291 46632  9483],34,3,True,3.747544050216675,0.9089421033859253
25,326,0,[14042 26819  5259 39043],22,2,False,0.0,0.0
26,327,0,[ 8982 24380 11468  8331],2,0,False,0.0,0.0
27,328,0,[30144  9440 17402 27430],3,1,False,0.0,0.0
28,329,0,[31826 41635  7588 46341],11,3,False,0.0,0.0
29,330,0,[28269 26660 20598  5186],30,1,False,0.0,0.0
0,331,1,[ 5387  7084 32682 23463],36,0,False,0.0,0.0
1,332,1,[40528  3349  4904 34182],1,0,False,0.0,0.0
2,333,1,[15417  5559 33753 41787],12,3,False,0.0,0.0
3,334,1,[23074 25579 29024 46997],21,2,False,0.0,0.0
4,335,1,[40766 33548 46202 27275],24,2,False,0.0,0.0
5,336,1,[23893 38929 17504 39916],29,1,False,0.0,0.0
6,337,1,[48534 13874 23742 34176],43,2,False,0.0,0.0
7,338,1,[18858 20899 22711 51231],44,3,False,0.0,0.0
8,339,1,[19979 35295 21440  4295],6,0,False,0.0,0.0
9,340,1,[  230 28967 39698 45494],0,3,False,0.0,0.0
10,341,1,[27279 20584 50582 32627],42,3,True,3.7726287841796875,1.341373085975647
11,342,1,[ 6458 45075 24870 24368],33,0,False,0.0,0.0
12,343,1,[23835  2787 52130  2078],8,2,True,4.0133442878723145,1.3821786642074585
13,344,1,[ 9466 23537 19141 48869],0,3,False,0.0,0.0
14,345,1,[12776 32216 18423 49122],19,1,True,3.9926698207855225,1.3858988285064697
15,346,1,[  483 14791 44756 19327],27,1,False,0.0,0.0
16,347,1,[32566  2524 15678 45687],46,3,False,0.0,0.0
17,348,1,[11975 31431  1597 49859],19,3,True,3.9930059909820557,1.323446273803711
18,349,1,[17000   703 45868 31049],49,3,False,0.0,0.0
19,350,1,[34255  1909  2420 17136],46,3,False,0.0,0.0
20,351,1,[29064 32023 36263 17154],36,3,True,3.787351131439209,1.5627100467681885
21,352,1,[41620 37730 18789 12881],44,0,False,0.0,0.0
22,353,1,[52274 49463 27158 22685],41,0,False,0.0,0.0
23,354,1,[19896 38270 51598 25170],23,2,False,0.0,0.0
24,355,1,[18507 45630 19508  7873],29,2,True,3.789592981338501,1.7133755683898926
25,356,1,[36845 43873 48056 36590],45,0,False,0.0,0.0
26,357,1,[13830  4744 23388 20915],39,0,False,0.0,0.0
27,358,1,[ 3988 30015 42092 12963],25,0,False,0.0,0.0
28,359,1,[51795 18551  8641 36151],35,1,True,3.9042258262634277,3.646315097808838
29,360,1,[ 6702  3510  2599 41549],16,1,True,4.032144069671631,1.3888882398605347
0,361,0,[11748  1324 18101 20395],44,2,False,0.0,0.0
1,362,0,[50815 14392 20586 51352],17,3,False,0.0,0.0
2,363,0,[36055 21127 29160 28179],10,3,False,0.0,0.0
3,364,0,[22674 35944 42262  6572],37,1,False,0.0,0.0
4,365,0,[17663 43892  5406 24595],33,0,True,3.5382652282714844,0.894744336605072
5,366,0,[19380 17032  3178 36497],40,2,False,0.0,0.0
6,367,0,[39050 47561 32803 45258],0,0,False,0.0,0.0
7,368,0,[  662 11245 32751 24185],18,0,True,3.5522801876068115,1.823471188545227
8,369,0,[20959 45420  7913 16214],32,0,False,0.0,0.0
9,370,0,[34032   230  7489 36529],44,1,False,0.0,0.0
10,371,0,[17980 41721 35275 32814],35,1,False,0.0,0.0
11,372,0,[42541 48098 23914 44147],25,0,False,0.0,0.0
12,373,0,[ 5089 44101 19760 37392],6,1,True,3.86934232711792,0.8893712759017944
13,374,0,[31648 40388 17852 37291],35,3,True,4.257808685302734,1.3895565271377563
14,375,0,[ 5344  6173 31678 15851],38,2,False,0.0,0.0
15,376,0,[27173 16403  2923 20190],29,3,False,0.0,0.0
16,377,0,[  247 10181  4830 41697],6,3,True,4.10440731048584,1.3000291585922241
17,378,0,[47453 10563 20921 52096],31,3,False,0.0,0.0
18,379,0,[30849 46316 39918 19750],37,1,False,0.0,0.0
19,380,0,[33417 22924 36220 23341],47,1,False,0.0,0.0
20,381,0,[ 8165 31153 19207 30689],49,0,False,0.0,0.0
21,382,0,[  619  5666 17991 14336],17,0,False,0.0,0.0
22,383,0,[14033 34277 21790 29406],16,1,False,0.0,0.0
23,384,0,[15209 19331  7771 19160],27,1,True,3.6191935539245605,1.1000925302505493
24,385,0,[38475  2195 17921 39120],41,3,False,0.0,0.0
25,386,0,[17074 43115 34256 50350],41,0,False,0.0,0.0
