,episode,role_setting,images,symbol,guess,success,sender_loss,receiver_loss,sender_loss_2,receiver_loss_2
8,99,1,[23982  2228 39511 10906],0,0,False,0.0,0.0,0.0,0.0
9,100,1,[27796  1669  6685 13570],5,2,False,0.0,0.0,0.0,0.0
10,101,1,[50242 33444 20355  8419],24,3,False,0.0,0.0,0.0,0.0
11,102,1,[26101 30780 46447 37284],45,0,True,4.058874607086182,1.384479284286499,4.132919788360596,1.3845325708389282
12,103,1,[ 5396 45182 19315   973],27,2,True,3.6937830448150635,0.49302539229393005,3.374643325805664,0.49899184703826904
13,104,1,[ 5023 29708  8708 41832],4,2,False,0.0,0.0,0.0,0.0
14,105,1,[41514 25679 16990  4237],43,0,False,0.0,0.0,0.0,0.0
15,106,1,[44975 50111  2492 28367],9,3,True,3.758328914642334,1.4576449394226074,3.6491453647613525,1.3043767213821411
16,107,1,[26610 14721 42124 22998],34,2,False,0.0,0.0,0.0,0.0
17,108,1,[ 2911 38472 24202  7820],42,0,True,3.9188730716705322,1.4210212230682373,3.957437515258789,0.6807186007499695
18,109,1,[31245 14618 38302  3030],22,2,False,0.0,0.0,0.0,0.0
19,110,1,[ 9822 28724 19831  3803],36,3,True,3.868042469024658,1.6975111961364746,3.860537528991699,1.518293023109436
20,111,1,[38524 46501 33177 31911],33,0,False,0.0,0.0,0.0,0.0
21,112,1,[  824 37824 46582 13484],42,0,False,0.0,0.0,0.0,0.0
22,113,1,[48485 49882 52087 29693],10,3,False,0.0,0.0,0.0,0.0
23,114,1,[48149 30204 24329 14129],29,3,False,0.0,0.0,0.0,0.0
24,115,1,[24467 24688 12217 34204],20,1,True,4.005439758300781,1.3885459899902344,4.471227645874023,1.3839977979660034
25,116,1,[36263 14819 17243 16521],42,0,False,0.0,0.0,0.0,0.0
26,117,1,[17655  2995  1848 13200],14,2,True,4.028329372406006,1.3921774625778198,4.138926029205322,1.38991379737854
27,118,1,[35832 27142 22384 10176],21,3,False,0.0,0.0,0.0,0.0
28,119,1,[ 6263 49731 12203  5185],40,3,False,0.0,0.0,0.0,0.0
