,sender_name,receiver_name,active_images,target_image,chosen_symbol,chosen_symbol_p,chosen_image,chosen_image_p,chosen_image_index,success
58,01.sender,02.receiver,1031:3:1674:534,1031,4,0.42969173192977905,534,0.41613197326660156,3,0
59,01.sender,02.receiver,443:1555:1481:229,443,2,0.9424068927764893,443,0.42160847783088684,1,1
60,02.sender,01.receiver,10:1777:2123:1615,10,0,0.4089311361312866,10,0.7579128742218018,1,1
61,02.sender,01.receiver,879:1624:716:1974,879,2,0.3744499385356903,716,0.3754172921180725,1,0
62,02.sender,01.receiver,479:1265:1464:505,479,0,0.45392218232154846,479,0.3777538239955902,0,1
63,02.sender,01.receiver,1425:2092:190:460,1425,0,0.36013007164001465,190,0.3451218008995056,2,0
64,02.sender,01.receiver,1282:2097:852:1630,1282,0,0.35813605785369873,1630,0.5778859853744507,2,0
65,02.sender,01.receiver,1310:231:1649:602,1310,2,0.4420161545276642,602,0.7372575402259827,1,0
66,02.sender,01.receiver,1306:2172:1118:1164,1306,2,0.5527538061141968,2172,0.3742275834083557,1,0
67,02.sender,01.receiver,1910:957:1023:350,1910,4,0.36032751202583313,1910,0.7969939708709717,1,1
68,02.sender,01.receiver,733:1534:121:488,733,0,0.457276314496994,1534,0.3956783711910248,3,0
69,02.sender,01.receiver,1139:1670:338:1489,1139,0,0.3828508257865906,1670,0.34911856055259705,1,0
70,02.sender,01.receiver,1097:348:1832:1459,1097,4,0.3500377833843231,1097,0.7168076634407043,0,1
71,02.sender,01.receiver,1118:1780:692:1374,1118,4,0.44650009274482727,1118,0.33416882157325745,3,1
72,02.sender,01.receiver,1121:143:2041:2179,1121,0,0.3823089003562927,1121,0.7040514945983887,1,1
73,02.sender,01.receiver,1596:10:1911:398,1596,2,0.4060663878917694,10,0.40158572793006897,0,0
74,02.sender,01.receiver,1436:1695:2105:624,1436,0,0.3554438352584839,1695,0.3737649917602539,2,0
75,02.sender,01.receiver,1408:625:1203:1215,1408,0,0.4072229266166687,1203,0.492524653673172,3,0
76,02.sender,01.receiver,188:702:918:301,188,0,0.3932621479034424,188,0.39141714572906494,3,1
77,02.sender,01.receiver,400:866:1930:2064,400,0,0.382656067609787,866,0.3510735034942627,3,0
78,02.sender,01.receiver,1911:1638:1187:152,1911,2,0.44057443737983704,1187,0.3183083236217499,0,0
79,02.sender,01.receiver,376:1952:1003:170,376,4,0.465444415807724,1952,0.5820692181587219,0,0
80,01.sender,02.receiver,1895:1707:2165:1327,1895,4,0.9697402119636536,2165,0.4108210802078247,0,0
81,01.sender,02.receiver,2101:1922:2115:1670,2101,2,0.707123875617981,1922,0.3044705390930176,2,0
82,01.sender,02.receiver,566:1166:1448:860,566,2,0.14381606876850128,566,0.34377536177635193,0,1
83,01.sender,02.receiver,1660:380:730:426,1660,2,0.3938928246498108,426,0.3237481713294983,2,0
