,sender_name,receiver_name,active_images,target_image,chosen_symbol,chosen_symbol_p,chosen_image,chosen_image_p,chosen_image_index,success
28,01.sender,02.receiver,1220:158:571:1736,1220,9,0.1876251995563507,1220,0.31001362204551697,2,1
29,01.sender,02.receiver,1335:1107:1467:312,1335,0,0.7372185587882996,1335,0.48964181542396545,3,1
30,01.sender,02.receiver,1807:993:1365:578,1807,8,0.49226412177085876,1807,0.9915374517440796,0,1
31,01.sender,02.receiver,827:852:630:1063,827,2,0.8531859517097473,827,0.7190655469894409,2,1
32,01.sender,02.receiver,900:269:986:1695,900,0,0.7386521100997925,900,0.6280426979064941,1,1
33,01.sender,02.receiver,320:1538:1394:1158,320,5,0.8865160942077637,320,0.7908504009246826,3,1
34,01.sender,02.receiver,932:318:1895:364,932,8,0.9984369874000549,932,0.8911998271942139,1,1
35,01.sender,02.receiver,558:844:154:527,558,5,0.6733094453811646,527,0.7694767713546753,2,0
36,01.sender,02.receiver,611:60:1836:77,611,0,0.7738087773323059,611,0.8731508255004883,3,1
37,01.sender,02.receiver,260:965:587:882,260,5,0.9162822365760803,260,0.6346489191055298,2,1
38,01.sender,02.receiver,563:338:718:959,563,5,0.7380424737930298,563,0.6127452254295349,0,1
39,01.sender,02.receiver,3:827:789:601,3,8,0.9733667373657227,3,0.8082250356674194,3,1
40,01.sender,02.receiver,1288:977:1082:895,1288,5,0.9938238859176636,1288,0.698609471321106,2,1
41,01.sender,02.receiver,1457:2037:184:80,1457,0,0.836056649684906,184,0.5397670269012451,1,0
42,01.sender,02.receiver,1321:1015:653:415,1321,2,0.46154478192329407,1321,0.4954398274421692,3,1
43,01.sender,02.receiver,899:434:1815:1743,899,2,0.6458939909934998,899,0.8093064427375793,2,1
44,01.sender,02.receiver,912:1924:1374:513,912,2,0.9001249074935913,912,0.4529382288455963,0,1
45,01.sender,02.receiver,562:1130:70:1196,562,0,0.6158239841461182,562,0.9020341038703918,3,1
46,01.sender,02.receiver,2056:350:324:416,2056,2,0.8680759072303772,2056,0.610877275466919,3,1
47,01.sender,02.receiver,727:898:60:190,727,9,0.3019017279148102,190,0.4504024088382721,3,0
48,01.sender,02.receiver,256:300:266:752,256,0,0.4814029335975647,256,0.39415305852890015,0,1
49,01.sender,02.receiver,1108:1897:870:735,1108,5,0.8365727066993713,1108,0.9289915561676025,0,1
50,01.sender,02.receiver,455:1918:790:1143,455,5,0.858780026435852,455,0.7319353818893433,0,1
