wn_id,wn_name,mcrae_name,broad_concept
n07747951,mandarin,mandarin,fruit
n03721047,marble,marble,toy
n03727837,mat,mat,furniture
n00466524,medal play,medal,NONE
n07565083,menu,menu,NONE
n03760671,microscope,microscope,appliance
n03761084,microwave,microwave,appliance
n03770954,mink,mink,mammal
n01442972,minnow,minnow,fish
n03773035,mirror,mirror,furniture
n03773504,missile,missile,weapon
n03775388,mixer,mixer,appliance
n02229765,mole cricket,mole_(animal),insect
n02283201,moth,moth,insect
n03790512,motorcycle,motorcycle,vehicle
n03793489,mouse,mouse,mammal
n03797390,mug,mug,container
n07734744,mushroom,mushroom,vegetable
n03803284,muzzle,muzzle,fashion_accessory
n04135315,sanitary napkin,napkin,NONE
n03814906,necklace,necklace,fashion_accessory
n07751148,nectarine,nectarine,fruit
n03824381,nightgown,nightgown,clothing
n01560105,nightingale,nightingale,bird
n03836976,nylons,nylons,clothing
n12268246,oak,oak,plant
n01970164,octopus,octopus,fish
n12301445,olive,olive,fruit
n04965179,orange,orange,fruit
n01572489,Baltimore oriole,oriole,bird
n01518878,ostrich,ostrich,bird
n02444819,otter,otter,mammal
n03862676,oven,oven,appliance
n01621127,owl,owl,bird
n02403003,ox,ox,mammal
n03876231,paintbrush,paintbrush,tool
n03880531,pan,pan,container
n02128669,panther,panther,mammal
n04205318,short pants,pants,clothing
n01821203,parakeet,parakeet,bird
n03891051,parka,parka,clothing
n07819896,parsley,parsley,vegetable
n01807496,partridge,partridge,bird
n07751004,peach,peach,fruit
n02279257,peacock,peacock,bird
n07767847,pear,pear,fruit
n01961985,pearl oyster,pearl,fish
n07726525,mushy peas,peas,vegetable
n03905947,peg,peg,tool
n02051845,pelican,pelican,bird
n01858845,pen,pen,tool
n13863020,pencil,pencil,tool
n02055803,penguin,penguin,bird
n07720442,pepper,pepper,vegetable
n02555863,perch,perch,fish
n01803078,pheasant,pheasant,bird
n03928116,piano,piano,musical_instrument
n07824988,pickle,pickle,vegetable
n12603449,pie plant,pie,plant
n03934042,pier,pier,building
n02364673,guinea pig,pig,mammal
n01811909,pigeon,pigeon,bird
n03938244,pillow,pillow,NONE
n03940256,pin,pin,tool
n11608250,pine,pine,plant
n07753275,pineapple,pineapple,fruit
n13901321,pipe,pipe,NONE
n03948459,pistol,pistol,weapon
n07579787,plate,plate,container
n01873310,platypus,platypus,mammal
n03966976,pliers,pliers,tool
n03968293,plug,plug_(electric),NONE
n07751451,plum,plum,fruit
n02380335,pony,pony,mammal
n02346627,porcupine,porcupine,mammal
n03991062,pot,pot,container
n07710616,potato,potato,vegetable
n04009552,projector,projector,appliance
n07752602,prune,prune,fruit
n12158443,pumpkin,pumpkin,fruit
n12841354,pyramid bugle,pyramid,plant
n01743605,python,python,mammal
n02324045,rabbit,rabbit,mammal
n02508021,raccoon,raccoon,mammal
n04381724,table-tennis racquet,racquet,tool
n06277135,radio,radio,appliance
n11894770,radish,radish,vegetable
n04045397,raft,raft,vehicle
n07752664,raisin,raisin,fruit
n04050066,rake,rake,tool
n07745466,raspberry,raspberry,fruit
n02331046,rat,rat,mammal
n01754876,rattlesnake,rattlesnake,reptile
n01579260,raven,raven,bird
n04057047,razor,razor,tool
n04086273,revolver,revolver,weapon
n12602980,rhubarb,rhubarb,fruit
n07804323,rice,rice,food
n04090263,rifle,rifle,weapon
n03855604,O ring,ring_(jewelry),NONE
n04097866,robe,robe,clothing
n01558993,robin,robin,bird
n14696793,rock,rock,NONE
n04098513,rocker,rocker,chair
n04099175,rocket,rocket,weapon
n04108268,rope,rope,NONE
n04122825,sack,sack,container
n04123740,saddle,saddle,clothing
n04128499,sailboat,sailboat,vehicle
n01629276,salamander,salamander,reptile
